Date,Stock,Close,Interest Rate,Inflation Rate,GDP
2018-03-28,MS,52.90999984741211,1.68,2.366925,20569.696044444445
2018-03-28,MSFT,89.38999938964844,1.68,2.366925,20569.696044444445
2018-03-28,F,10.859999656677246,1.68,2.366925,20569.696044444445
2018-03-29,MS,53.959999084472656,1.68,2.366925,20572.500033333334
2018-03-29,AMZN,72.36699676513672,1.68,2.366925,20572.500033333334
2018-03-29,JPM,109.97000122070312,1.68,2.366925,20572.500033333334
2018-03-29,MSFT,91.2699966430664,1.68,2.366925,20572.500033333334
2018-03-29,CSCO,42.88999938964844,1.68,2.366925,20572.500033333334
2018-03-29,AAPL,41.94499969482422,1.68,2.366925,20572.500033333334
2018-03-29,WFC,52.40999984741211,1.68,2.366925,20572.500033333334
2018-03-29,F,11.079999923706056,1.68,2.366925,20572.500033333334
2018-04-02,MSFT,88.5199966430664,1.68,2.491592,20583.30560439561
2018-04-02,AMZN,68.59950256347656,1.68,2.491592,20583.30560439561
2018-04-02,F,10.859999656677246,1.68,2.491592,20583.30560439561
2018-04-02,CSCO,41.0099983215332,1.68,2.491592,20583.30560439561
2018-04-02,MS,52.720001220703125,1.68,2.491592,20583.30560439561
2018-04-02,AAPL,41.66999816894531,1.68,2.491592,20583.30560439561
2018-04-02,WFC,51.34999847412109,1.68,2.491592,20583.30560439561
2018-04-02,JPM,107.8499984741211,1.68,2.491592,20583.30560439561
2018-04-03,WFC,52.08000183105469,1.69,2.491592,20585.699208791208
2018-04-03,AAPL,42.09749984741211,1.69,2.491592,20585.699208791208
2018-04-03,AMZN,69.60250091552734,1.69,2.491592,20585.699208791208
2018-04-03,JPM,109.33000183105467,1.69,2.491592,20585.699208791208
2018-04-03,CSCO,41.380001068115234,1.69,2.491592,20585.699208791208
2018-04-03,F,11.149999618530272,1.69,2.491592,20585.699208791208
2018-04-03,MSFT,89.70999908447266,1.69,2.491592,20585.699208791208
2018-04-03,MS,53.16999816894531,1.69,2.491592,20585.699208791208
2018-04-04,JPM,110.98999786376952,1.69,2.491592,20588.092813186813
2018-04-04,AMZN,70.52850341796875,1.69,2.491592,20588.092813186813
2018-04-04,CSCO,41.20000076293945,1.69,2.491592,20588.092813186813
2018-04-04,AAPL,42.90250015258789,1.69,2.491592,20588.092813186813
2018-04-04,F,11.329999923706056,1.69,2.491592,20588.092813186813
2018-04-04,MS,53.66999816894531,1.69,2.491592,20588.092813186813
2018-04-04,WFC,52.90999984741211,1.69,2.491592,20588.092813186813
2018-04-04,MSFT,92.33000183105467,1.69,2.491592,20588.092813186813
2018-04-05,CSCO,41.81999969482422,1.69,2.491592,20590.48641758242
2018-04-05,JPM,111.87999725341795,1.69,2.491592,20590.48641758242
2018-04-05,AAPL,43.20000076293945,1.69,2.491592,20590.48641758242
2018-04-05,F,11.350000381469728,1.69,2.491592,20590.48641758242
2018-04-05,MSFT,92.37999725341795,1.69,2.491592,20590.48641758242
2018-04-05,MS,54.86000061035156,1.69,2.491592,20590.48641758242
2018-04-05,WFC,53.2599983215332,1.69,2.491592,20590.48641758242
2018-04-05,AMZN,72.5875015258789,1.69,2.491592,20590.48641758242
2018-04-06,WFC,52.22999954223633,1.69,2.491592,20592.88002197802
2018-04-06,AAPL,42.095001220703125,1.69,2.491592,20592.88002197802
2018-04-06,MS,53.040000915527344,1.69,2.491592,20592.88002197802
2018-04-06,AMZN,70.2614974975586,1.69,2.491592,20592.88002197802
2018-04-06,CSCO,40.72999954223633,1.69,2.491592,20592.88002197802
2018-04-06,MSFT,90.2300033569336,1.69,2.491592,20592.88002197802
2018-04-06,F,11.18000030517578,1.69,2.491592,20592.88002197802
2018-04-06,JPM,109.08999633789062,1.69,2.491592,20592.88002197802
2018-04-09,AMZN,70.30400085449219,1.69,2.491592,20600.06083516484
2018-04-09,MSFT,90.7699966430664,1.69,2.491592,20600.06083516484
2018-04-09,MS,53.34999847412109,1.69,2.491592,20600.06083516484
2018-04-09,JPM,110.4000015258789,1.69,2.491592,20600.06083516484
2018-04-09,WFC,52.25,1.69,2.491592,20600.06083516484
2018-04-09,AAPL,42.51250076293945,1.69,2.491592,20600.06083516484
2018-04-09,CSCO,41.16999816894531,1.69,2.491592,20600.06083516484
2018-04-09,F,11.25,1.69,2.491592,20600.06083516484
2018-04-10,F,11.449999809265137,1.69,2.491592,20602.45443956044
